Age,Sex,StateFrom,StateTo,MeanDays,StdDays,Count,Chance
68,MALE,Iv,H,0.0,0.0,29,1.0
68,MALE,U,D,5.75,4.031,4,0.667
68,MALE,U,H,1.0,0.0,2,0.333
69,FEMALE,H,R,6.5,3.12,16,0.941
69,FEMALE,H,U,6.0,0.0,1,0.059
69,FEMALE,I,Is,0.0,0.0,1,1.0
69,FEMALE,Is,H,6.0,0.0,1,1.0
69,FEMALE,Iv,H,0.0,0.0,19,1.0
69,FEMALE,U,H,5.0,0.0,1,1.0
69,MALE,H,D,24.0,0.0,1,0.053
69,MALE,H,R,11.071,10.916,14,0.737
69,MALE,H,U,0.75,1.5,4,0.211
69,MALE,I,Is,0.0,0.0,2,1.0
69,MALE,Is,H,-176.0,263.044,2,1.0
69,MALE,Iv,H,0.0,0.0,23,1.0
69,MALE,U,H,24.667,3.055,3,1.0
70,FEMALE,H,R,8.667,4.755,12,1.0
70,FEMALE,I,Is,0.0,0.0,7,1.0
70,FEMALE,Is,H,1.857,2.116,7,1.0
70,FEMALE,Iv,H,0.0,0.0,15,1.0
70,MALE,H,D,7.5,10.607,2,0.08
70,MALE,H,R,10.684,7.387,19,0.76
70,MALE,H,U,2.75,2.217,4,0.16
70,MALE,I,Is,0.0,0.0,4,1.0
70,MALE,Is,H,8.75,3.775,4,1.0
70,MALE,Iv,H,0.0,0.0,23,1.0
70,MALE,U,H,13.5,9.95,4,1.0
71,FEMALE,H,D,12.333,16.197,3,0.107
71,FEMALE,H,R,8.167,5.939,24,0.857
71,FEMALE,H,U,1.0,0.0,1,0.036
71,FEMALE,Iv,H,0.0,0.0,30,1.0
71,FEMALE,U,H,0.0,0.0,1,1.0
71,MALE,H,D,11.0,10.985,4,0.118
71,MALE,H,R,9.231,6.32,26,0.765
71,MALE,H,U,9.25,13.301,4,0.118
71,MALE,I,Is,0.0,0.0,3,1.0
71,MALE,Is,H,3.667,3.215,3,1.0
71,MALE,Iv,H,0.0,0.0,34,1.0
71,MALE,U,H,12.5,17.678,2,1.0
72,FEMALE,H,D,20.0,0.0,1,0.045
72,FEMALE,H,R,9.882,4.833,17,0.773
72,FEMALE,H,U,9.75,13.276,4,0.182
72,FEMALE,Iv,H,0.0,0.0,20,1.0
72,FEMALE,U,H,15.0,4.359,3,1.0
72,MALE,H,D,13.0,10.296,6,0.182
72,MALE,H,R,11.087,6.338,23,0.697
72,MALE,H,U,6.25,6.652,4,0.121
72,MALE,I,Is,0.0,0.0,2,1.0
72,MALE,Is,H,3.5,4.95,2,1.0
72,MALE,Iv,H,0.0,0.0,40,1.0
72,MALE,U,H,16.5,14.387,4,1.0
73,FEMALE,H,R,8.643,4.668,14,0.933
73,FEMALE,H,U,0.0,0.0,1,0.067
73,FEMALE,Iv,H,0.0,0.0,14,1.0
73,FEMALE,U,H,1.0,0.0,1,1.0
73,MALE,H,D,8.5,9.037,4,0.121
73,MALE,H,R,9.136,3.907,22,0.667
73,MALE,H,U,3.714,2.498,7,0.212
73,MALE,I,Is,0.0,0.0,1,1.0
73,MALE,Is,H,7.0,0.0,1,1.0
73,MALE,Iv,H,0.0,0.0,36,1.0
73,MALE,U,D,7.0,0.0,2,0.286
73,MALE,U,H,11.0,8.456,5,0.714
74,FEMALE,H,D,4.0,1.414,2,0.071
